date	내용
2023-11-27	온디바이스 AI 시장 개화에 따른 수혜 기대감 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-11-28	내년 반도체 가격 상승 추세 지속 및 업황 개선 전망 등에 상승(주도주 : 삼성전자, DB하이텍)
2023-11-30	모바일 메모리 가격 상승 본격화 및 온디바이스 AI 시장 개화 기대감 지속 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-12-05	美 국채금리 상승 및 필라델피아 반도체지수 약세 영향 등에 하락
2023-12-06	메모리 가격 반등 사이클 진입 속 주가 하락에 따른 매수 기회 유효 분석 등에 상승(주도주 : 삼성전자)
2023-12-07	필라델피아 반도체지수 하락 영향 등에 하락
2023-12-08	AMD 차세대 AI 칩 및 구글 LLM '제미나이' 공개 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2023-12-11	尹 대통령 ASML 방문 기대감 및 美 필라델피아 반도체 지수 상승, 반도체 업황 기대감 지속 등에 상승(주도주 : SK하이닉스)
2023-12-12	美 필라델피아 반도체 지수 약 2년만에 최고치, 네덜란드와 반도체 동맹 기대감 지속 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-12-14	필라델피아 반도체지수 상승세 지속 속 온디바이스 AI, CXL 등 차세대 반도체 기술 개발 기대감 등에 상승(주도주 : SK하이닉스, DB하이텍)
2023-12-20	반도체 등 12대 국가전략기술 공식 확정 및 내년 1분기 모바일 D램·낸드 가격 급등 전망 등에 일부 관련주 상승(주도주 : 삼성전자, SK하이닉스)
2023-12-22	마이크론 실적 호조 속 반도체 업황 턴어라운드 기대감 등에 상승(주도주 : 삼성전자, DB하이텍, SK하이닉스)
2023-12-27	美 필라델피아 반도체 지수 강세 및 반도체 업황 개선 기대감 지속 등에 일부 관련주 상승(주도주 : 삼성전자)
2024-01-02	반도체 업황 반등세 지속 전망 등에 일부 관련주 상승(주도주 : 삼성전자)
2024-01-03	美 필라델피아 반도체 지수 급락 등에 하락
2024-01-04	美 필라델피아 반도체 지수 급락에 하락
2024-01-09	엔비디아 사상 최고치 기록 속 美 필라델피아 반도체 지수 급등 등에 상승(주도주 : DB하이텍, SK하이닉스)
2024-01-15	차세대 AI 메모리 제품 기대감 및 정부, '반도체 메가 클러스터' 조성 기대감 등에 일부 관련주 상승(주도주 : 삼성전자)
2024-01-17	美 조기 금리 인하 기대감 약화 속 대형 기술주 약세 등에 하락
2024-01-18	TSMC 지난해 4분기 실적 예상치 상회 등에 상승(주도주 : SK하이닉스, DB하이텍)
2024-01-19	TSMC 호실적 영향 지속 속 반도체 업황 회복 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2024-01-22	美 필라델피아 반도체 지수 급등 및 오픈AI 샘 올트먼 최고경영자(CEO), AI 반도체 개발 추진 소식 등에 소폭 상승(주도주 : SK하이닉스, 삼성전자)
2024-01-26	인텔, 올해 1분기 실적 가이던스 실망감 등에 하락
2024-01-31	필라델피아 반도체지수 하락 및 AMD 1분기 실적 가이던스 실망감 등에 하락
2024-02-02	美 필라델피아 반도체지수 상승 및 반도체 수출 급증 소식 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2024-02-05	하반기 반도체 업황 재둔화 우려 등에 하락
2024-02-06	골드만삭스, 엔비디아 목표가 상향 및 美 필라델피아 반도체 지수 상승 등에 상승(주도주 : SK하이닉스)
2024-02-08	엔비디아 사상 최고치 경신 및 ARM 예상치 웃돈 실적 가이던스 제시 등에 상승(주도주 : SK하이닉스)
2024-02-13	AI 반도체 열풍 지속 및 샘 올트먼 오픈AI CEO, 최대 9,300조원 규모 투자 유치 추진 소식 등에 상승(주도주 : SK하이닉스)
2024-02-14	美 1월 CPI 쇼크 속 조기 금리 인하 기대감 후퇴 등에 하락
2024-02-22	엔비디아 어닝 서프라이즈 등에 상승(주도주 : SK하이닉스)
2024-02-23	엔비디아 호실적에 따른 주가 급등 영향 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-02-28	정부, 국가전략기술 사업화시설 범위 확대 및 세액공제 혜택 제공 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-03-04	AI 훈풍 지속 속 델(DELL) 주가 폭등 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2024-03-07	美 필라델피아 반도체 지수 급등(+2.42%) 속 일부 관련주 상승(주도주 : SK하이닉스)
2024-03-08	엔비디아 연일 사상 최고치 경신 속 필라델피아 반도체지수(+3.36%) 급등 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2024-03-11	엔비디아(-5.55%) 급락 속 필라델피아 반도체 지수 급락 영향 등에 하락
2024-03-12	업황 회복 기대감 지속 등에 상승(주도주 : 삼성전자, DB하이텍)
2024-03-13	엔비디아·오라클 주가 급등 속 AI 시장 확대 기대감 지속 등에 일부 관련주 상승
2024-03-14	美 필라델피아 반도체 지수 급락 등에 하락
2024-03-18	엔비디아, GTC 2024서 신기술 공개 기대감 지속 및 씨티그룹의 마이크론테크놀로지 목표가 150달러로 상향 소식 등에 소폭 상승(주도주 : SK하이닉스, DB하이텍)
2024-03-19	엔비디아 차세대 인공지능 칩 ‘블랙웰(B200)’ 공개 및 엔비디아 시간외 주가 하락 속 차익실현 매물 등에 하락
2024-03-20	젠슨 황 엔비디아 CEO, 삼성전자 HBM 테스트 언급 소식 등에 상승(주도주 : 삼성전자)
2024-03-21	美 마이크론 어닝 서프라이즈 및 젠슨 황 엔비디아 CEO, 삼성전자 HBM 테스트 언급 모멘텀 지속 등에 상승(주도주 : SK하이닉스, 삼성전자, DB하이텍)
2024-03-26	美/中 반도체 신경전 속 반사 수혜 기대감 및 마이크론 훈풍 지속 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-03-27	글로벌 기업, AI 투자 규모 확대에 따른 수혜 전망 및 반도체 수출물량 11년 8개월 만에 최대 소식 등에 상승(주도주 : SK하이닉스)
2024-03-28	삼성전자, 실적 턴어라운드 전망 및 필라델피아 반도체지수 강세 등에 상승(주도주 : 삼성전자)
2024-03-29	글로벌 AI 시장 확대에 따른 AI 반도체 성장 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-04-01	반도체 수출 호조 및 삼성전자·SK하이닉스 호실적 기대감 지속 등에 상승(주도주 : DB하이텍, SK하이닉스)
2024-04-02	마이크론 훈풍 지속 및 삼성전자, SSD 수요 증가에 따른 가격 인상 소식 등에 상승(주도주 : 삼성전자)
2024-04-03	美 금리인하 기대감 후퇴 속 필라델피아 반도체지수 약세 등에 하락
2024-04-04	반도체 업황 회복 기대감 지속 및 대만 지진 반사이익 기대감 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-04-05	필라델피아 반도체 지수 급락 영향 등에 하락
2024-04-11	반도체 수출 호조 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-04-15	중동 지정학적 리스크 고조 속 금리 인하 기대감 후퇴 등에 하락
2024-04-16	美 국채 금리 급등 속 美 주요 기술주 약세 등에 하락
2024-04-17	美 필라델피아 반도체 지수 반등 등에 일부 관련주 상승(주도주 : DB하이텍)
2024-04-18	TSMC 1분기 호실적 발표 등에 상승(주도주 : SK하이닉스)
2024-04-19	TSMC, 메모리 제외 올해 반도체 시장 성장률 전망 하향 수정 소식 등에 하락
2024-04-22	美 필라델피아 반도체 지수 급락 등에 하락
2024-04-24	엔비디아, 시총 2조달러 재돌파 및 삼성전자, 美 AMD에 4조원대 HBM 물량 공급 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-04-26	필라델피아 반도체지수 강세 및 반도체 업황 회복 기대감 지속 등에 상승(주도주 : SK하이닉스, DB하이텍)
2024-04-30	삼성전자 반도체 부문 5분기만 흑자전환 소식 등에 일부 관련주 상승(주도주 : 삼성전자)
2024-05-07	美 필라델피아 반도체 지수 급등 및 HBM 가격 상승 전망 등에 상승(주도주 : 삼성전자, SK하이닉스)
2024-05-13	정부, 10조원 이상 반도체 산업 지원 프로그램 추진 계획 소식 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-05-16	美 CPI 둔화 속 Fed 올해 금리 인하 기대감 부각, 美 필라델피아 반도체지수 급등 등에 상승(주도주 : SK하이닉스)
2024-05-23	엔비디아 호실적 및 정부, 26조원 규모 반도체산업 지원 정책 발표 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2024-05-24	삼성전자, 엔비디아 HBM 테스트 실패 소식 등에 하락
2024-05-27	엔비디아發 훈풍 지속 등에 상승(주도주 : 삼성전자, SK하이닉스)
2024-05-28	AMD, 3nm GAAFET 트렌지스터 구조 채택 언급에 따른 삼성전자 수주 기대감 등에 상승(주도주 : 삼성전자)
2024-05-30	국채 입찰 부진 속 美 국채 금리 상승 지속 등에 하락
2024-06-03	Fed 올해 금리 인하 기대감 지속 및 5월 반도체 수출 호조 등에 상승(주도주 : 삼성전자, DB하이텍, SK하이닉스)
2024-06-04	필라델피아 반도체지수 상승 및 엔비디아 새 AI 칩 발표 소식 등에 일부 관련주 상승(주도주 : DB하이텍)
2024-06-05	젠슨 황 "삼성전자 HBM, 엔비디아 제품에 탑재될 것" 발언 등에 상승(주도주 : 삼성전자)
2024-06-07	엔비디아 훈풍 지속 및 SK그룹, TSMC와 AI 반도체 협력 강화 소식 등에 상승(주도주 : SK하이닉스)
2024-06-10	美 금리인하 기대감 후퇴 등에 하락
2024-06-13	美 필라델피아 반도체 지수 급등 및 SK하이닉스, 6년 만에 최대 실적 달성 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-06-14	美 필라델피아 지수 강세 속 일부 관련주 상승(주도주 : 삼성전자)
2024-06-18	美 필라델피아 반도체 지수 강세 및 반도체 슈퍼사이클 도래 진단 소식 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2024-06-19	필라델피아 반도체지수 상승 및 엔비디아 시가총액 1위 등극 등에 상승(주도주 : 삼성전자, DB하이텍)
2024-06-21	필라델피아 반도체지수 하락 및 엔비디아 약세 등에 하락
2024-06-24	필라델피아 반도체지수 하락 및 엔비디아 약세 지속 등에 일부 관련주 하락
2024-06-25	엔비디아(-6.68%) 3거래일 연속 하락, 필라델피아 반도체지수 급락(-3.02%) 등에 일부 관련주 하락
2024-06-26	엔비디아 급반등에 따른 시총 3조 달러 회복 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-06-27	美 마이크론 실적 전망치 부합에도 시간외거래서 급락 등에 하락
2024-07-02	트럼프 리스크 속 美 국채금리 급등 등에 하락
2024-07-04	삼성전자 엔비디아 HBM3E 퀄테스트 통과 임박 소식 및 호실적 기대감, 美 필라델피아 반도체 지수 강세 등에 상승 (주도주 : DB하이텍, 삼성전자)
2024-07-05	삼성전자 2분기 어닝 서프라이즈 및 5월 반도체 수출 호조 속 상승(주도주 : 삼성전자, SK하이닉스)
2024-07-09	반도체 업황 호조 지속 등에 상승(주도주 : DB하이텍, SK하이닉스)
2024-07-11	필라델피아 반도체지수 급등 및 TSMC 2분기 어닝서프라이즈 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-07-12	美 인플레 둔화 속 차익실현 매물 출회 영향으로 美 주요 기술주 하락 등에 하락
2024-07-17	트럼프, IRA·반도체지원법 비판 소식 등에 하락
2024-07-18	美 반도체 규제 강화 전망 등에 하락
2024-07-22	美 필라델피아 반도체 지수 급락 및 모건스탠리, 9월 Fed 금리 인하 전 AI(인공지능) 관련 기술주 비중 축소 권고 소식 등에 하락
2024-07-23	美 필라델피아 반도체 지수 급등 속 일부 관련주 상승(주도주 : 삼성전자)
2024-07-25	AI 수익성 우려에 따른 美 빅테크 주가 급락 등에 하락
2024-07-29	美 필라델피아 반도체 지수 강세 등에 상승(주도주 : SK하이닉스)
2024-07-30	애플, 엔비디아가 아닌 구글 설계 프로세서 사용 소식 등에 하락
2024-07-31	삼성전자 반도체 부문 어닝 서프라이즈 및 AMD 2분기 호실적 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2024-08-02	美 경기 침체 우려에 따른 美 기술주 급락 등에 하락
2024-08-05	美 경기 침체 우려 지속 속 美 필라델피아 반도체 지수 급락 및 엔비디아 차세대 칩 출시 연기 소식 등에 하락
2024-08-06	전일 국내 증시 폭락에 따른 반발 매수세 유입 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2024-08-07	삼성전자, HBM3E(8단) 엔비디아 퀄테스트 통과 보도 및 美 필라델피아 반도체지수 반등 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-08-08	필라델피아 반도체지수(-3.09%) 및 엔비디아(-5.12%), 슈퍼마이크로컴퓨터(-20.14%) 주가 급락 영향 등에 하락
2024-08-09	엔비디아 등 美 반도체 관련주 급등에 따른 AI 기대감 재부각 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2024-08-12	8월1~10일 수출 호조 소식 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2024-08-13	HBM3E 공급부족 심화에 따른 SK하이닉스·삼성전자 수혜 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-08-14	美 필라델피아 반도체 지수 급등 영향 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-08-16	美 필라델피아 반도체 지수 급등(+4.87%) 영향 등에 상승(주도주 : SK하이닉스, 삼성전자, DB하이텍)
2024-08-20	엔비디아 美 시총 2위 탈환 속 필라델피아 반도체지수 강세 영향 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-08-21	엔비디아 7거래일만에 하락 속 필라델피아 반도체지수(-1.33%) 약세 등에 하락
2024-08-23	美 필라델피아 반도체 지수 급락 영향 등에 하락
2024-08-27	필라델피아 반도체지수 급락 및 엔비디아 실적 경계감 등에 하락
2024-08-28	엔비디아 실적 발표 관망 속 AI 시장 성장에 따른 메모리 탑재 용량 증가 및 3D 패키징 시장 성장 기대감 등에 상승(주도주 : DB하이텍, SK하이닉스)
2024-08-29	엔비디아, 실적 호조에도 시간외거래서 급락 등에 하락
2024-08-30	엔비디아發 우려 과도 분석 등에 상승(주도주 : SK하이닉스)
2024-09-04	美 경기 침체 공포 재부각에 따른 엔비디아(-9.53%) 등 대형 기술주 급락 영향 등에 하락
2024-09-06	브로드컴 매출 가이던스 실망 및 美 경기 침체 우려 지속 등에 하락
2024-09-11	TSMC, 투자 확대 수혜 기대감 및 9월 초순 반도체 수출 호조 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-09-12	엔비디아 AI 칩 사우디 수출 기대감 및 블랙웰 수요 기대감에 따른 엔비디아(+8.15%) 주가 급등 영향 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2024-09-13	BNP파리바, 마이크론 테크놀로지 매도 권고 소식 및 삼성전자·SK하이닉스 3분기 실적 부진 전망 등에 하락
2024-09-19	모건스탠리, 반도체 비관론 보고서 등에 하락
2024-09-20	필라델피아 반도체지수 급등 및 낙폭과대 인식 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-09-23	삼성·TSMC, UAE 반도체공장 설립 추진 소식 및 HBM 공급 부족 지속 전망 등에 상승(주도주 : DB하이텍, SK하이닉스)
2024-09-25	엔비디아 강세 속 필라델피아 반도체지수 상승 영향 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-09-26	마이크론 어닝서프라이즈 및 SK하이닉스 세계 최초 'HBM3E 12단' 양산 소식 등에 상승(주도주 : SK하이닉스, 삼성전자, DB하이텍)
2024-09-30	美 필라델피아 반도체 지수 약세, 中 엔비디아 칩 사용 제한 권고 소식 등에 하락
2024-10-02	美 필라델피아 반도체 지수 급락 및 맥쿼리, 삼성전자 목표주가 대폭 하향 조정 등에 하락
2024-10-04	엔비디아(+3.37%) 젠슨 황 CEO, 블랙웰 수요 우려 일축 등에 상승(주도주 : SK하이닉스)
2024-10-07	美 필라델피아 반도체 지수 강세 영향 등에 상승(주도주 : SK하이닉스, DB하이텍)
2024-10-08	삼성전자, 3분기 잠정실적 쇼크 및 HBM3E 사업화 지연 소식 등에 하락
2024-10-11	10월1~10일 반도체 수출 호조 등에 일부 관련주 상승(주도주 : DB하이텍)
2024-10-14	엔비디아 블랙웰 1년치 공급 매진 및 삼성전자 저평가 분석 등에 상승(주도주 : 삼성전자, DB하이텍, SK하이닉스)
2024-10-15	엔비디아 종가 기준 사상 최고치 경신, 美 필라델피아 반도체 지수 강세 속 일부 관련주 상승(주도주 : SK하이닉스, 삼성전자)
2024-10-16	ASML 실적 쇼크 유출 속 美 필라델피아 반도체 지수 급락 등에 하락
2024-10-17	美 필라델피아 반도체지수 반등, 한미반도체·TSMC 호실적 발표 등에 일부 관련주 상승(주도주 : SK하이닉스, 삼성전자)
2024-10-22	트럼프 리스크에 따른 美 국채금리 상승 영향 등에 하락
2024-10-23	당정, 반도체 특별법안 잠정 합의 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-10-24	美 필라델피아 반도체 지수 약세 등에 하락
2024-10-25	SK하이닉스, 테슬라에 최대 1조원 규모 eSSD 공급 추진 소식 속 일부 관련주 상승(주도주 : SK하이닉스)
2024-10-28	美 필라델피아 반도체 지수 강세 및 삼성전자, 엔비디아 HBM 협력사로 조건부 승인 소식 등에 상승(주도주 : DB하이텍, 삼성전자)
2024-10-31	삼성전자, HBM3E 퀄테스트 중요 단계 완료 소식 속 엔비디아 공급 기대감 부각 등에 상승(주도주 : DB하이텍, 삼성전자)
2024-11-01	마이크로소프트(MS)·메타發 실적 실망감 속 美 기술주 하락 여파 등에 하락
2024-11-04	SK하이닉스, 세계 최초 HBM3E 16단 제품 공식화 및 젠슨 황, "SK하이닉스 HBM4 공급 일정 6개월 앞당기자" 발언 등에 상승(주도주 : SK하이닉스)
2024-11-08	엔비디아 주가 사상 최고치 재경신, 美 필라델피아 반도체 지수 급등 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-11-11	美 칩스법 폐기 우려 지속 및 中 반도체 성장 우려 등에 하락
2024-11-12	美 칩스법 폐지 우려 지속, 필라델피아 반도체 지수 급락 등에 하락
2024-11-13	美 칩스법 폐지 우려 지속 및 K칩스법 실망감 지속 등에 하락
2024-11-14	美 필라델피아 반도체 지수 급락, 칩스법 폐기 우려 지속 등에 하락
2024-11-15	삼성전자 저가 매수세 유입 등에 상승(주도주 : 삼성전자, SK하이닉스)
2024-11-18	엔비디아 블랙웰 결함 발생 소식, 美 필라델피아 반도체 지수 급락 영향 속 일부 관련주 하락
2024-11-21	엔비디아 3분기 호실적, 11월 반도체 수출 호조 및 테슬라, 삼성전자·SK하이닉스에 HBM4 공급 요청 부각 등에 일부 관련주 상승(주도주 : 삼성전자)
2024-11-22	엔비디아 호실적, 美 필라델피아 반도체 지수 강세 및 바이든 정부, 반도체 보조금 지급 속도 소식 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-11-25	젠슨 황 엔비디아 CEO, 삼성전자 HBM3E 8단·12단 납품 검토 소식에 상승(주도주 : 삼성전자, DB하이텍)
2024-11-27	美 반도체법 보조금 재검토 우려 등에 하락
2024-11-28	美 기술주 하락 영향 및 美 반도체법 보조금 재검토 우려 지속 등에 하락
2024-11-29	美 반도체법 보조금 재검토 우려 및 대중 반도체 규제 우려, 11월 D램·낸드 가격 급락 등에 하락
2024-12-02	D램·낸드값 폭락 및 美 반도체 정책 불확실성 지속 등에 하락
2024-12-03	필라델피아 반도체지수 급등, 美 상무부 대중국 HBM 수출 통제 발표 속 상승(주도주 : DB하이텍, SK하이닉스)
2024-12-04	美 마이크로칩, 반도체 보조금 수령 중단 소식 등에 하락
2024-12-05	마벨 테크놀로지 실적 호조, 美 필라델피아 반도체지수 강세 영향 등에 상승(주도주 : SK하이닉스, 삼성전자)
2024-12-06	시놉시스(-12.37%) 실적 가이던스 실망, 美 필라델피아 반도체 지수 약세 영향 등에 일부 관련주 하락
2024-12-09	中 저가공세에 따른 메모리 반도체 가격 급락 및 정치적 불확실성에 따른 반도체 특별법 우려 등에 하락
2024-12-11	12월 반도체 수출 호조 및 美 마이크론 보조급 지급 확정 소식 등에 상승(주도주 : DB하이텍, SK하이닉스)
2024-12-12	美 필라델피아 반도체지수 급등(+2.72%) 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2024-12-13	中, 반도체 부품 재고 확보 소식에 상승(주도주 : DB하이텍, 삼성전자)
2024-12-16	美 필라델피아 반도체지수 급등(+3.36%) 등에 일부 관련주 상승(주도주 : SK하이닉스)
2024-12-17	브로드컴 훈풍 지속에 美 필라델피아 반도체 지수 급등, 마이크론테크놀로지 실적 기대감 등에 상승(주도주 : DB하이텍, SK하이닉스)
2024-12-18	HBM 사용처 확대 기대감 및 마이크론 실적 기대감 지속 등에 일부 관련주 상승(주도주 : 삼성전자)
2024-12-19	美 필라델피아 반도체 지수 급락, 마이크론 테크놀로지 실적 가이던스 부진 등에 하락
2024-12-20	마이크론테크놀로지(-16.18%) 향후 가이던스 시장 예상치 하회 속 주가 급락 영향 등에 하락
2024-12-23	브로드컴, 삼성전자·SK하이닉스에 HBM4 공급 요청 및 삼성전자·SK하이닉스, 美 보조금 확정 소식 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2024-12-24	美 필라델피아 반도체지수(+3.10%) 급등 영향 등에 일부 관련주 상승(주도주 : 삼성전자, DB하이텍)
2024-12-27	산은, 반도체 등 첨단전략산업 분야 육성 목적 3년간 100조원 규모 공급 기대감 및 용인 반도체 국가산단 조기 승인 소식 등에 일부 관련주 상승(주도주 : SK하이닉스, 삼성전자)
2025-01-03	美 필라델피아 반도체지수 상승, 엔비디아 훈풍 영향 등에 상승(주도주 : SK하이닉스, 삼성전자)
2025-01-06	美 필라델피아 반도체 지수 급등(+2.83%) 영향, CES 기대감 부각 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2025-01-07	엔비디아, 차세대 GPU에 마이크론 메모리 탑재 소식에 하락
2025-01-08	젠슨 황 CEO, 삼성전자 HBM 긍정적 발언 및 엔비디아 차세대 GPU GDDR7 공급사 삼성전자·SK하이닉스 배제 논란 완화 등에 상승(주도주 : 삼성전자, DB하이텍)
2025-01-09	美 AI칩 수출통제서 한국 등 동맹국 제외 및 최태원-젠슨 황 회동 소식 등에 일부 관련주 상승(주도주 : SK하이닉스)
2025-01-13	고용지표 호조 속 Fed 금리 인하 기대감 약화, 美 필라델피아 반도체(-2.42%) 지수 급락 영향 등에 하락
2025-01-16	美 필라델피아 반도체(+2.13%) 지수 급등, TSMC 호실적 발표 등에 상승(주도주 : SK하이닉스, 삼성전자)
2025-01-17	SK하이닉스, 오는 2월 10나노급 6세대 D램 세계 최초 양산 소식, TSMC 호실적 영향 및 대규모 설비 투자 계획 등에 일부 관련주 상승(주도주 : SK하이닉스)
2025-01-20	美 필라델피아 반도체(+2.84%) 지수 급등 영향, 머스크 테슬라 CEO 인텔 인수설 등에 상승(주도주 : DB하이텍)
2025-01-22	美 필라델피아 반도체 지수 강세, 엔비디아 시총 1위 탈환, 트럼프 대통령 5,000달러 규모 AI 인프라 투자 발표 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2025-01-31	中 딥시크 쇼크 속 美 AI 인프라 관련주 급락 여파 등에 하락
2025-02-03	中 딥시크 쇼크 지속 및 트럼프 관세 쇼크 여파 등에 하락
2025-02-04	트럼프 대통령, 멕시코·캐나다 관세 조치 1달 유예 소식에 상승(주도주 : 삼성전자, DB하이텍)
2025-02-05	美 필라델피아 반도체(+1.05%) 지수 상승 및 이재용·최태원 회장 올트먼 오픈AI CEO 회동 소식 등에 상승(주도주 : SK하이닉스, DB하이텍)
2025-02-06	美 빅테크 AI 투자 확대 수혜 기대감, 필라델피아 반도체(+2.31%) 지수 급등 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2025-02-07	엔비디아(+3.08%) 상승 및 오픈AI 美 16개주에 데이터센터 추가 건설 검토 소식, 최태원 회장 차세대 먹거리로 SIC 웨이퍼 사업 관심 등에 일부 관련주 상승(주도주 : DB하이텍)
2025-02-10	2분기 낸드 가격 반등 및 K칩스법 기대감 지속 등에 상승(주도주 : DB하이텍, 삼성전자)
2025-02-12	美 금리인하 속도 조절 전망 등에 하락
2025-02-14	정부, K온디바이스 AI 반도체 1조 투자 소식 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2025-02-17	엔비디아, 삼성전자·SK하이닉스 등 메모리반도체 업체와 제2의 HBM 'SOCAMM' 관련 협의 소식에 상승(주도주 : DB하이텍)
2025-02-18	K-칩스법 국회 기재위 통과 및 안도 랠리 지속 전망, 하반기 낸드 가격 회복 기대감 등에 상승(주도주 : DB하이텍, 삼성전자)
2025-02-19	美 필라델피아 반도체(+1.68%) 지수 강세, K칩스법 기재위 통과, 메모리반도체 업황 개선 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2025-02-20	트럼프 대통령, 자동차·반도체 관세 부과 3월 발표 예고 소식에 하락
2025-02-24	美 경기둔화 우려 속 뉴욕증시 급락 영향 등에 하락
2025-02-25	美 필라델피아 반도체(-2.59%) 지수 급락, 마이크로소프트 데이터센터 임대 축소, 엔비디아 실적 경계감 등에 하락
2025-02-27	엔비디아 실적 호조에도 시간외거래서 하락 영향 등에 하락
2025-02-28	美 엔비디아(-8.48%) 급락 영향 등에 하락
2025-03-04	엔비디아(-8.69%) 급락 속 필라델피아 반도체지수 폭락 등에 일부 관련주 하락
2025-03-05	美 필라델피아 반도체(+0.64%) 지수 반등 영향 등에 일부 관련주 상승(주도주 : SK하이닉스)
2025-03-06	트럼프 대통령 美 의회서 '반도체법 폐지' 관련 발언, 보조금 지급 무산 우려 지속 등에 하락
2025-03-07	美 브로드컴 호실적 발표 등에 일부 관련주 상승(주도주 : DB하이텍)
2025-03-11	美 대형 기술주 급락 등에 하락
2025-03-12	D램 재고 감소 및 범용 메모리 가격 반등 영향 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2025-03-14	메모리 가격 상승 속 업황 개선 기대감 지속 등에 상승(주도주 : SK하이닉스, DB하이텍)
2025-03-17	엔비디아 GTC 기대감 및 美 필라델피아 반도체지수(+3.27%) 급등 등에 상승(주도주 : DB하이텍, 삼성전자)
2025-03-19	엔비디아, AI 칩 로드맵 공개 소식 및 모건스탠리, 삼성전자·SK하이닉스 목표주가 상향 등에 상승(주도주 : 삼성전자, SK하이닉스)
2025-03-20	美 필라델피아 반도체지수(+0.99%) 상승, 메모리 반도체 업황 개선 전망 등에 상승(주도주 : 삼성전자, DB하이텍, SK하이닉스)
2025-03-21	美 마이크론 실적 호조, 국내 반도체 수출 증가세 지속 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2025-03-24	美 마이크론 테크놀로지(-8.04%) 급락 영향 등에 하락
2025-03-26	2분기 D램 가격 바닥 탈출 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2025-03-27	美 필라델피아 반도체지수(-3.27%) 급락 영향 등에 하락
2025-03-28	美 필라델피아 반도체지수(-2.07%) 급락 및 반도체 관세 우려, AI 거품론 부각 등에 하락
2025-03-31	美 필라델피아 반도체지수(-2.95%) 급락 및 공매도 우려 등에 하락
2025-04-01	3월 반도체 수출 호조 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2025-04-03	美 상호관세 발표 속 글로벌 무역전쟁 우려 확산 등에 하락
2025-04-04	美 필라델피아 반도체(-9.88%) 지수 폭락 및 트럼프 대통령, 반도체 관세 예고 소식 속 하락
2025-04-07	트럼프, 반도체 개별관세 부과 예고, 美 필라델피아 반도체지수(-7.60%) 폭락 영향 등에 하락
2025-04-08	美 필라델피아 반도체(+2.70%) 지수 반등 영향 및 삼성전자 1분기 잠정실적 선방 등에 일부 관련주 상승(주도주 : SK하이닉스, DB하이텍)
